요일,기상상태,가해운전자 성별,가해운전자 연령,시간대,월,도로위험도
금요일,맑음/흐림,남,25-64세,야간,1월,0.033
수요일,맑음/흐림,남,25-64세,주간,2월,0.068
월요일,맑음/흐림,남,25-64세,주간,2월,1.168
목요일,맑음/흐림,남,25-64세,주간,3월,0.068
화요일,맑음/흐림,남,25-64세,주간,4월,0.136
목요일,비,남,25-64세,주간,4월,1.168
화요일,맑음/흐림,남,25-64세,주간,6월,0.136
금요일,맑음/흐림,남,25-64세,주간,6월,1.168
수요일,맑음/흐림,남,25-64세,주간,7월,1.168
토요일,맑음/흐림,남,25-64세,주간,9월,0.136
화요일,맑음/흐림,남,65세 이상,주간,9월,10
수요일,비,남,25-64세,주간,9월,1.168
수요일,맑음/흐림,남,25-64세,주간,11월,0.068
목요일,맑음/흐림,남,25-64세,주간,11월,0.068
토요일,맑음/흐림,남,65세 이상,주간,11월,1.236
목요일,맑음/흐림,남,25-64세,주간,12월,0.136
목요일,맑음/흐림,남,25-64세,주간,2월,0.068
화요일,맑음/흐림,남,25-64세,주간,2월,0.136
목요일,비,남,25-64세,주간,3월,1.168
금요일,맑음/흐림,남,25-64세,야간,3월,2.336
월요일,맑음/흐림,남,25-64세,주간,4월,1.168
화요일,맑음/흐림,남,25-64세,주간,5월,0.272
화요일,맑음/흐림,남,25-64세,주간,5월,0.136
수요일,맑음/흐림,남,25-64세,주간,5월,0.068
금요일,맑음/흐림,남,25-64세,주간,7월,0.068
목요일,맑음/흐림,여,25-64세,주간,8월,0.068
일요일,맑음/흐림,여,25-64세,주간,8월,3.572
수요일,맑음/흐림,남,25-64세,주간,10월,10.34
월요일,비,남,65세 이상,주간,11월,3.572
목요일,맑음/흐림,남,25-64세,주간,12월,0.068
토요일,맑음/흐림,남,65세 이상,주간,12월,2.336
목요일,맑음/흐림,남,25-64세,주간,12월,0.068
목요일,맑음/흐림,남,25-64세,주간,12월,0.237
금요일,맑음/흐림,남,25-64세,주간,2월,1.236
화요일,맑음/흐림,남,25-64세,주간,2월,1.236
수요일,맑음/흐림,남,25-64세,주간,3월,0.136
금요일,맑음/흐림,남,25-64세,야간,5월,1.168
월요일,비,남,25-64세,주간,5월,0.204
화요일,맑음/흐림,남,25-64세,주간,6월,1.168
월요일,맑음/흐림,여,25-64세,주간,7월,1.168
금요일,비,남,65세 이상,주간,7월,1.168
화요일,맑음/흐림,남,65세 이상,주간,7월,0.068
